date,asin,ads_date_ref,tsales_date_ref,impressions,clicks,ad_spend,units_sold,ad_sales,shippedunits,shippedrevenueamount,Item Name,Collection,Category,Size,Inch,orderedunits,orderedrevenueamount
18-08-2024,B0BNL2Z6N7,,2024-08-18,0,0,0,0,0,1,70,"NapQueen 4'' Green Tea Mattress Topper, Twin-XL",Green Tea,Mattress Topper,Twin XL,4 Inch,0,0
21-08-2024,B0BNL3YY1C,,2024-08-21,0,0,0,0,0,1,50,"NapQueen 2'' Green Tea Mattress Topper, Full",Green Tea,Mattress Topper,Full,2 Inch,0,0
02-09-2024,B0BNLS6YPG,,2024-09-02,0,0,0,0,0,1,52,"NapQueen 3"" Ventilated Bamboo Charcoal Memory Foam Mattress Topper, Twin",Bamboo Charcoal Topper,Mattress Topper,Twin,3 Inch,0,0
21-08-2024,B0BNL4NX61,,2024-08-21,0,0,0,0,0,1,35,"NapQueen 1.5'' Green Tea Mattress Topper, Twin",Green Tea,Mattress Topper,Twin,1.5 Inch,0,0
10-09-2024,B0CQVL5T61,,2024-09-10,0,0,0,0,0,1,108,"NapQueen Zeta Bed Frame, King",Zeta,Bed Frame,King,16 Inch,0,0
04-09-2024,B0B31S8KPF,,2024-09-04,0,0,0,0,0,1,399,"NapQueen 14"" Bamboo Charcoal Mattress, King",Bamboo Charcoal Mattress,Mattress,King,14 Inch,0,0
19-08-2024,B0BSLWJKSX,,2024-08-19,0,0,0,0,0,1,84,"NapQueen Alpha Bed Frame, Twin",Alpha,Bed Frame,Twin,14 Inch,0,0
15-08-2024,B0B31T1XMH,,2024-08-15,0,0,0,0,0,1,299,"NapQueen 14"" Bamboo Charcoal Mattress, Full",Bamboo Charcoal Mattress,Mattress,Full,14 Inch,0,0
28-08-2024,B0BNKZBJX2,,2024-08-28,0,0,0,0,0,1,41,"NapQueen 2'' Swirl Gel Mattress Topper, Twin-XL",Swirl Egg Shell,Mattress Topper,Twin XL,2 Inch,0,0
11-09-2024,B09KDR64LT,,2024-09-11,0,0,0,0,0,1,169,"NapQueen Elizabeth 10"" Gel Memory Foam Mattress, Twin",Elizabeth,Mattress,Twin,10 Inch,0,0
24-08-2024,B0B31SM3ZR,,2024-08-24,0,0,0,0,0,1,296,"NapQueen 14"" Bamboo Charcoal Mattress, Queen",Bamboo Charcoal Mattress,Mattress,Queen,14 Inch,0,0
01-09-2024,B09KTMKDKJ,,2024-09-01,0,0,0,0,0,1,109,"NapQueen Elsa 8"" Innerspring Mattress, Twin",Innerspring,Mattress,Twin,8 Inch,0,0
10-09-2024,B09KDXJJ6W,,2024-09-10,0,0,0,0,0,1,169,"NapQueen Elizabeth 10"" Gel Memory Foam Mattress, Twin XL",Elizabeth,Mattress,Twin XL,10 Inch,0,0
30-08-2024,B0BGDXV7FD,,2024-08-30,0,0,0,0,0,1,168,"NapQueen 8"" Maxima Hybrid Mattress, Queen, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,Queen,8 Inch,0,0
22-08-2024,B0CY5LR4VX,,2024-08-22,0,0,0,0,0,1,325,NapQueen 14'' Isabella Hybrid Pillow Top Full Mattress,Isabella Pillow Top,Mattress,Full,14 Inch,0,0
02-09-2024,B09KDW1YKQ,,2024-09-02,0,0,0,0,0,1,279,"NapQueen Elizabeth 8"" Gel Memory Foam Mattress, King",Elizabeth,Mattress,King,8 Inch,0,0
04-09-2024,B0BSLTZV4Z,,2024-09-04,0,0,0,0,0,1,108,"NapQueen Alpha Bed Frame, Full",Alpha,Bed Frame,Full,14 Inch,0,0
24-08-2024,B0BNKZBJX2,,2024-08-24,0,0,0,0,0,1,41,"NapQueen 2'' Swirl Gel Mattress Topper, Twin-XL",Swirl Egg Shell,Mattress Topper,Twin XL,2 Inch,0,0
